strategy,run,ante_reached_at_game_end,won,total_dollars_earned
Mercenary_Opportunist,9,1,false,8
Mercenary_Opportunist,10,1,false,4
Mercenary_Opportunist,11,1,false,4
Mercenary_Opportunist,12,1,false,4
Mercenary_Opportunist,13,1,false,8
Mercenary_Opportunist,14,1,false,8
Mercenary_Opportunist,15,1,false,4
Random_Chaos,1,1,false,4
Random_Chaos,2,1,false,8
Random_Chaos,3,1,false,8
Random_Chaos,4,1,false,8
Random_Chaos,5,1,false,8
Random_Chaos,6,1,false,8
Random_Chaos,7,1,false,8
Random_Chaos,8,1,false,8
Random_Chaos,9,1,false,8
Random_Chaos,10,1,false,4
Random_Chaos,11,1,false,4
Random_Chaos,12,1,false,4
Random_Chaos,13,1,false,4
Random_Chaos,14,1,false,4
Random_Chaos,15,1,false,4
